,Sentence,Emotion
127,이제 알아보는 중이야,슬픔
128,야 우리 아빠 어제 또 넘어졌어,분노
129,술 먹고 그랬지 뭐 몰라,분노
130,"생명이 뭐야\
 아우 지장 없어",중립
131,아유 주 5일을 먹네 주 5일은 맨날 맨날,분노
132,그런 건 소용 없어,분노
133,괜히 거기로 갔어 가지 말 걸,분노
134,얼른 잊어버려 해야지,분노
135,아까 이미 말씀드렸어,슬픔
136,친구랑 같이 왔어,슬픔
137,다들 괜찮은 거 같아,슬픔
138,따뜻한 물 마시는 건 사실 좀 답이 아닌 거 같고 그냥 빨리 화장실 가서 볼일 보고 맛있는 거 먹으러 가자,중립
139,관리자한테 말하고 빨리 치우라고 말하자,중립
140,1시간은 된 거 같다 진짜 도대체 언제까지 아 진짜,분노
141,"근데\
 깜깜무소식이다",분노
142,화를 내 봤는데 고치는 듯하더니 또 그러네,분노
143,"안 그래도\
 다른 옷에 알아봐야 될 거 같아",분노
144,밤새 기획안 작성했는데가 잘못됐어,슬픔
145,"직원들 있긴 한데\
 모르겠다",공포
146,틀어 줘서 고마워,중립
147,약속 있어서 친구 기다리고 있는데 아직도 안 왔어,분노
148,조금만 기다리래,분노
149,매번 늦어,분노
150,아빠가 또 다쳤어,분노
151,또 술 마시고 넘어졌어,분노
152,자주 드셔,중립
153,진짜 퇴근한지 얼마나 됐다고 회사에서 연락이 또 왔어,분노
154,있어도 정말 다행이야 고마워,중립
155,어제저녁에 진짜 무서웠어,공포
156,친구는 발목을 다쳤어,공포
157,지금은 괜찮은 거 같아,중립
158,내 친구는 발목을 다쳐 걷은 다른 사람들은 잘 모르겠어,중립
159,나도 며칠 지켜봐야 될 거 같아,중립
160,누가 화장실에 통화하고 하나도 안 추웠어,혐오
161,지금도 그대로 있다니까,혐오
162,뭘 마시려고 해도 자꾸 그게 생각나,혐오
163,나 면접도 떨어졌어,슬픔
164,집에 가는 길,슬픔
165,아니 아직 모르죠,슬픔
166,"아니 아직\
 배도 안 고파",슬픔
167,아까부터 계속 연락했는데 답도 잘 없어,분노
168,얘 맨날 이래,분노
169,얘기를 해도 그때뿐이고 다음에 약속하면 또 똑같이 맨날 늦어,분노
170,룸메랑 또 싸웠어,분노
171,알기는 고딩때부터 알았지,분노
172,지금은 괜찮은데 어제 완전 놀랬어,공포
173,응 그래야겠어 지진을 처음 겪어 봐서 진짜 너무 무섭더라,공포
174,아 못 다녀 못 다녀 아 진짜 짜증 나,분노
175,아 진짜 딴 데로 옮겨야 되나 봐 월급 더 주는 것도 아니면서 왜 나한테만 이렇게 시켜,분노
176,다른 사람 일까지 다 나한테 시키는데 내가 누구한테 털어놔,분노
177,아 진짜 네가 욕이라도 해 줘 진짜 화병 생기겠어,분노
178,그냥 밖에 돌아다니고 있어,슬픔
179,하도 스트레스 받아서 그런지 배도 안 고파,슬픔
180,룸메랑 너무 무서워 진짜,분노
181,화장실에 누가 통화하고 1층,혐오
182,지금도 그대로 있어 너무 놀라서 뛰쳐 나왔잖아,혐오
183,당연히 완전 놀랐지,혐오
184,안 그래도 지금 막 물 좀 마시려고,혐오
185,좋은 생각이다 내가 지금 가서 얘기하고 올게,중립
186,어제 갑자기 일어났거든,공포
187,지금은 안정된 거 같아,중립
188,내 친구가 발목을 조금 다쳤어요,슬픔
189,그러니까 나한테 막 시키고 완전 다니기 싫어,분노
190,부터라도 당장 입 준비를 해야겠어,분노
191,나한테 일만 시키려고 하지 내 말은 안부도 틀어 주지 않아,슬픔
192,어디 또 다쳤어,슬픔
193,다행히 생명에 지장은 없다,중립
194,일주일에 5일이나 술을 마셔 너무 걱정돼,슬픔
195,여러 번 해봤는데 소용없어,슬픔
196,해봐도 그때 뿐이야 잠깐만 나아지는 거 같아도 다시 원상태로 돌아와,공포
197,어제 진행 했는데 너무 허전해,슬픔
198,기획안을 작성했는데 혼났어,슬픔
199,너랑 통화하려고 잠깐 밖에,슬픔
200,그렇게 말해 주는 사람은 너밖에 없어,슬픔
201,지금 면접 보고 나오는 길에 밖에 있어,슬픔
202,또 준비 해야지,슬픔
203,없어졌는데 입맛도 없어 지금은,슬픔
204,룸메랑 너무 차도 싸우게 돼,분노
205,청소를 너무 안 해 음식물 쓰레기도 아무 데나,분노
206,초등학교 동창인데이 정도일 줄은 몰라,분노
207,애기가 왔다고 잠시 시간을 갖자 돈이 다른 여자가 생겼대,슬픔
208,한 쪽 달 정도 됐나,슬픔
209,나 애인한테 차였어,슬픔
210,학교에서 만나 후배인데 나 군대도 기다려,슬픔
211,사소한 일로 많이 싸워 썼는데 그때마다 잘 풀었어,슬픔
212,응 아직 그대로 있어 더워 죽겠어,혐오
213,응 그래야 될 거 같아 다른 층을 써야 될 거 같아,중립
214,"그러게 사람들 매너가 꽝이네\
 물이라도 좀 마셔야겠다",분노
215,응 조금 있다 가서 말씀 드릴게,중립
216,한 달 전에 주의를 줬는데 또 그러네,분노
217,고등학교 때 동창 이었어,중립
218,보증금이 모자라서 아직 안 돼,슬픔
219,나 면접도 떨어졌어,슬픔
220,혼자 밖에서 걷고 있어,슬픔
221,아직까지 부모님한테는 알리지 못했어,슬픔
222,화장실에 누가 토하고 안 치우고 갔어,혐오
223,응 아직도 그대로 있어,혐오
224,응 다른층 써야 될 거 같아 깜짝 놀랐네,혐오
225,그래야 될 거 같아 말해야 되겠어,분노
226,나는 잘하는게 없나,슬픔
227,회사 상사한테 혼났어,슬픔
228,일찍 퇴근 하기는 글렀어 밤새야 될 거 같아,슬픔
229,어제저녁에 진짜 무서웠어,공포
230,친구와 밥 먹는데 심한 지진이 일어났어,놀람
231,친구가 발목을 다쳤어,슬픔
232,그래 그렇게 할게,중립
233,내일 그만두고 싶은 마음이야,슬픔
234,사실 갈 데가 없어,슬픔
235,아니 아무도 없어 난 혼자야,슬픔
236,강을 너무 지저분하게 써,슬픔
237,한 달 전에 주의를 줬는데 또 그러네,분노
238,고등학교 때 동창 이었어,분노
239,보증금이 모자라서 당분간은 힘들 거 같아,슬픔
240,룸메와 너무 자주 싸우고 있어,분노
241,한 달 전에 화를 냈었는데 그때 이후로 괜찮아 지더니,분노
242,응 고등학교 동창이었는데 이렇게까지 심할 줄은 몰랐어,분노
243,집 계약 문제 때문에 생각 좀 해 봐야 될 거 같아,중립
244,나 면접도 떨어졌어,슬픔
245,이제 면접 마치고 집 가고 있어 지하철이야,슬픔
246,응 또 다르면서 준비할 거 같은데 너무 힘들다,슬픔
247,이제 이야기해야 될 거 같아,중립
248,아니 아직 못 먹었어 너무 배고파,중립
249,아 또 상사 끝났어,분노
250,어제 밤새도록 기획안 준비했는데,중립
251,그래도 지방간 다시 자야 돼,슬픔
252,눈치 보여서 일찍 퇴근을 못 할 거 같아,분노
253,나 결국 헤어졌어,슬픔
254,갑자기 헤어지자고 연락이 왔어,슬픔
255,전부터 계속 알,중립
256,아니 우린 잘 싸워,분노
257,룸메이트와 싸웠어,분노
258,방을 너무 지저분하게 쓰는 거 있지,분노
259,응 주위를 한번 줬지 그런데 하는 거 같더니만 다시 원래대로 지저분하게 쓰고 있어,분노
260,"고등학교 동창인데\
 친한 사이였어",분노
261,그러고 싶긴 한데,분노
262,나 오늘 면접도 떨어졌어,슬픔
263,벌써 다섯 번째 떨어진 거라 마지막 대한으로 된 면접이라 자신이 없어 이젠 너무 지쳐,슬픔
264,아니 아직 말씀 못 드렸어,슬픔
265,아직 안 먹었어 답도,슬픔
266,위로해 줘서 고마워,중립
267,그런데 연락이 안 돼,슬픔
268,아빠가 술 먹고 또 넘어져서 다쳤어,슬픔
269,술 드시고 계단 가시다가 넘어졌어,슬픔
270,응 그렇지,중립
271,일주일 다섯 번은 드셔,분노
272,해봤는데 이제는 포기 상태야,슬픔
273,어휴 회사에서 또 전화 왔어,분노
274,모르겠어 일이 너무 많아서 계속 다니기 힘들 것 같아,분노
275,다른데 좀 알아봐야 될 거 같아 나도 너무 힘들어 지쳤어,분노
276,없어 그래서 더 스트레스 받는 것 같아,슬픔
277,저녁에 너무 무서웠어,공포
278,아니 아직도 가슴이 두근두근거려,공포
279,내 친구는 발목을 다쳤고 다른 사람들도 좀 많이 다친 것 같아,공포
280,응 알겠어,중립
281,화장실에 누가 또 해 놨어 너무 지저분해,혐오
282,그래도 지저분해,혐오
283,그래야겠어 그래야 마음을 진정시키기,중립
284,당연히 말해야지 얼른 전화하자,중립
285,시간을 갖자고 해 가지고 근데 알고 보니 새로운 사람 생겼어,슬픔
286,원래 알고 있었어,중립
287,룸메이트가 동창인데 더럽게 해서,분노
288,아니 한 달 전에 주희 한 번만 해 봤어,분노
289,응 중학교 동창인데 이렇게까지 들어올 줄 몰랐어,분노
290,나 또 면접 떨어졌어,슬픔
291,아직 밖이야,중립
292,아니 아직 모르죠,중립
293,잘한게 없나 봐,슬픔
294,그러니 다시 해야지,중립
295,응 다시 해야 돼서 오늘 퇴근 못 할 것 같아,중립
296,예삐가 어제 세상을 떠났어,슬픔
297,아니 부모님도 슬퍼 하셔서 나도 집에 가기 싫어,슬픔
298,어제 진행 했어,중립
299,약속이 있어서 지금 친구 기다리고 있는데 아직도 안 왔어,분노
300,응 해 봤는데 항상 있는 친구니까,분노
301,아 매번 그래,중립
302,매번 말하지 늦지 않게 오라고,분노
303,우리 아빠가 떴다 줬어,슬픔
304,술먹다가 계단에서 넘어져 가지고 허리를 다쳤어,슬픔
305,일주일에 5일은 멋있는 거 같아,분노
306,거기 있어 어쩌지,분노
307,아니 맨날 그만두고 싶어,분노
308,아니 나한테만 계속 이어 가지고,분노
309,어제 저녁에 미친 진짜 무서웠어,공포
310,응 나는 괜찮은데 같이 갔던 친구가 발목을 다쳤어 왜 갔는데,슬픔
311,어 지금은 괜찮은데 귀신이 너무 무서워,공포
312,아니 넘어진 사람들 많더라고 제 친구도 발목을 다쳐 가지고,공포
313,누군가가 화장실에서 또 하고 안 치웠어,혐오
314,더러워 죽겠어,혐오
315,응 진짜 놀랐어 다른 팀 가봐야겠어,공포
316,어 말씀드려야 될 거 같대 빨리 찍어 달라고,중립
317,어제 세상을 떠났어,슬픔
318,어 갑자기 아프게 되었어,슬픔
319,부모님들이 많이 슬퍼 하셔,슬픔
320,약속이 있어서 친구 기다리고 있는데 아직 안 왔어,분노
321,1시간은 넘은 거 같아,분노
322,매번 그러네,분노
323,아니 이번이 마지막일지도 몰라,슬픔
324,걱정 하시니까 아직 말씀 못 드렸어,슬픔
325,먹어야 되는데 입맛이 없네,슬픔
326,약속이 있어서 친구 기다리고 있는데 아직 안 왔어,분노
327,좀 자주 그러긴 하는데 오늘은 심하네,분노
328,친구가 조금 다쳤어,슬픔
329,응 그렇게 할게 고마워,중립
330,해피가 어제 세상을 떠났어,슬픔
331,어제 의식을 잃어서 병원에 갔는데 그렇게 됐네,슬픔
332,마음이 너무 허전하고 다들 슬퍼 하셔,슬픔
333,응 지금 준비하고 있어,중립
334,나는 잘하는게 없나 봐,슬픔
335,상사한테 혼났어,슬픔
336,할 일이 너무 많아서 일찍 퇴근 안 힘들 것 같아,분노
337,아니 다 내 잘못이지도 몰라,슬픔
338,아니 알아보는 중이야,중립
339,집에도 못 들어가겠어,슬픔
340,자꾸 이게 생각밖에 안 나서 미치겠어,분노
341,끝나서 조퇴 한다고 말도 못 하겠어,분노
342,그대로 있을 걸 나도 그냥 나왔거든,분노
343,진짜 소리 질러 따니까 놀라서,분노
344,좀 진정 좀 해야겠다,공포
345,나 또 떨어졌어,슬픔
346,아니 너무 죄송해서 말 못 했어,중립
347,"입맛도 없다\
 어떡하냐",슬픔
348,진짜 무서웠어,공포
349,지진 났잖아 넌 못 느꼈어,공포
350,난 괜찮아,중립
351,그래야지 근데 진짜 무섭더라,공포
352,해도 사과하고 끝이야 그냥,분노
353,지금 그런 방법도 생각하고 있어,중립
354,면접 또 떨어졌어,슬픔
355,집 집 가고 있는 중이야,중립
356,근데 이번 건지 마지막 이었어,중립
357,입맛도 없어 아직,중립
358,잘하는게 없나 봐,슬픔
359,서류를 만들어서 제출했는데 천사한테 처음부터 해 오라고,분노
360,그러고 싶은데 시간이 없어서,중립
361,오늘 중에 서류 다시 다 해야 돼서,분노
362,방을 너무 더럽게 써,분노
363,화냈는데 그때는 잘 하는 거 같더니 지금 또 더럽게 쓰고 있어,분노
364,그래 친구였어,중립
365,어제 갑자기 쓰러져 가지고 병원에 갔는데,슬픔
366,부모님도 슬퍼 하셔,슬픔
367,장례식은 어제 끝났어,슬픔
368,그렇게 믿고 싶어,중립
369,지난번에 말했는데 또 있네요,분노
370,아빠가 어제 또 다쳤어,슬픔
371,허리만 다치셔서,슬픔
372,얘기해 봤는데 다들 포기했어,슬픔
373,힘든 거 같아,슬픔
374,새로운데 알아 봐야겠어,중립
375,없어 친한 사람이 없어서,슬픔
376,어제저녁에 진짜 무서웠어,공포
377,식당에 있었는데 갑자기 지진이 와 가지고,공포
378,같이 갔던 친구가 다쳤어,슬픔
379,그래야 될 것 같아,중립
380,그대로 있어서 놀랐어,중립
381,다시는 보고 싶지 않아,분노
382,기분이 안 좋아서 그래야 될 거 같아,분노
383,말해야 될 거 같아,분노
384,나 결국 헤어졌어,슬픔
385,남자가 생긴 거 같아,슬픔
386,원래는 친구였는데 사귀게 되었어,중립
387,두 달 지난 거 같아,중립
388,방을 너무 지저분하게 사용해,분노
389,화내 봤는데 말 안 들어,분노
390,그때부터 친구야,중립
391,방 보증금이 없다 미치겠네,분노
392,나는 잘하는게 없다 봐,슬픔
393,자꾸 나만 혼내,분노
394,근데 할 일이 너무 많아,분노
395,오늘도 밤새야 될 거 같아,분노
396,화장실에 누가 토하고 안 치웠어,혐오
397,응 아직 그대로 있어,혐오
398,깜짝 놀랐어,놀람
399,아무것도 먹기 싫어,분노
400,아까 전에 말했는데 아직 안 치워 줘,혐오
401,어제저녁에 진짜 무서웠어,공포
402,나는 괜찮아 친구가 발을 다쳤어,슬픔
403,응 지금은 괜찮은 거 같아,중립
404,친구가 발을 다쳤다고,슬픔
405,그래 알겠다,중립
406,대체로 괜찮아 진짜 대처 요령을 알아 둬야 될 거 같다,중립
407,화장실에 누가 토하고 안 치웠어,혐오
408,응 매너가 꽝이네 아직도 그대로 있어,혐오
409,깜짝 놀랐지 다른 층으로가 봐야겠다,놀람
410,응 그래야 될 거 같아,중립
411,어제 우리 아빠가 또 다쳤어,슬픔
412,술 드시고 계단에서 넘어졌어,슬픔
413,허리를 다쳐서 병원에 입원해 계셔,슬픔
414,일주일 5일은 드실 걸,분노
415,진짜 퇴근한지 얼마 됐다고 회사에서 연락도 없어,분노
416,맨날 야근해 메일 그만두고 싶어,분노
417,나이가 많아서 이젠 갈데도 없어,슬픔
418,친한 사람이 아무도 없네,슬픔
419,나 결국 헤어졌어,슬픔
420,친구 사귀기,슬픔
421,"아니\
 우리는 3년 동안 한 번도 싸운 적이 없어",슬픔
422,나 결국 헤어졌어,중립
423,약속 있어서 친구 기다리고 있는데 아직 안 왔어,중립
424,1시간 됐어 1시간이 더 맛있더라,슬픔
425,10분 후에 1시간 연락도 안 돼,분노
426,맨날 늦는데 이번에 또 노는 거야,분노
427,아 말을 안 들어 맨날 똑같아 진짜 짜증 나,분노
428,친구 또 늦었어,분노
429,했는데 안 받네 얘 맨날 그래 습관인가 봐,슬픔
430,그럼 지워 주시려나,혐오
431,결국 헤어졌어,슬픔
432,권태기 때문에,중립
433,원래 알고 지내던 사이였어,슬픔
434,그런 건 없었는데 다른 여자 생긴 거 같아,슬픔
435,룸메와 너무 자주 싸워,분노
436,또 또 자나,중립
437,그랬을까 내가 잘못 돼 준 것만 자꾸 생각나,슬픔
438,그래 맨날,분노
439,얘기해도 소용없어 안 고쳐져,분노
440,연락이 또 왔어,분노
441,모르겠어 계속 일 시켜,분노
442,사람이랑 헤어졌어,슬픔
443,권태기가 왔다고 했는데 그게 아니었던 거지 그래서 그만 하자고 하더라고 다른 사람이 있었던 것 같아,슬픔
444,진짜 어제 엄청 무서웠다,공포
445,나 남자 친구랑 헤어졌어,슬픔
446,친구처럼 지내다가 그렇게 된 거였는데 오래 만났지 3년 만났으니까 근데 결국은 이렇게 되네,슬픔
447,싸운 적은 없어 우리 사이 좋았어,슬픔
448,두 달쯤 됐는데 아직도 잊지 못하고 바보같이 이러고 있다,슬픔
449,내가 진짜 그거 치우라고 몇 번 했는지 알아 근데 오지도 않아 치우지도 다시 글이 다시 안 하네 진짜 미치겠네,혐오
450,한 달 정도 된 거 같아,중립
451,몰라 그냥 친구사이 였지 뭐,슬픔
452,너무 자주 싸우게 돼,분노
453,이번에도 음식물 쓰레기 너무 더럽게 짜증 냈잖아,혐오
454,약속 있어서 친구 기다리고 있는데 아직 안 왔어,분노
455,안 그래도 말씀드리고 오는 길이야 빨리 좀 추웠으면 좋겠다,혐오
456,이야기는 매번 하지 근데 내가 너무 취해서 그런지대 말을 쉽게 받아들여 주지 않아,분노
457,"새로운 사람이 생긴 것 같아\
 권태기를 느껴 때",슬픔
458,"친구로지내자가 3년 전부터 연애감정이 생기 시작하더라\
 그때부터 연희 된 거지",기쁨
459,아니 3년간 연애하는 동안 싸운 적은 한 번도 없었어,중립
460,나는 잘하는게 없나 봐,슬픔
461,힘들게 가는 했는데 다시 해운대,슬픔
462,다치지는 않았는데 많이 놀랐지,공포
463,너무 무서웠지 대처 요령을 공부해도 해야 될 거 같아 같이 있었던 사람들은 크게 다치지는 않았어,공포
464,나 친구 기다린다 벌써 1시간째 기다리고 있는데 전화도 안 받아,분노
465,요즘에 룸메랑 진짜 많이 싸우고 싶어 스트레스 너무 받아,분노
466,당연히 해 봤지 근데 그때 뿐이야,분노
467,응 고등학교 동창이 야 근데 이럴 줄 알았냐고,분노
468,안 그래도 한 달만 다시 참아보고 그냥 안 된다 싶으면 따로 살려고,분노
469,죄송스러워서 아무 말도 못 하겠어 좀 이따가 봐서 하려고,슬픔
470,아니 입맛도 없네 좀 있다 뭐 먹어야지,슬픔
471,또 상사한테 깨졌지 뭐 되는게 하나도 없어,슬픔
472,안 그래도 감기 때문에 일찍 집에 가려고,슬픔
473,이게 뭐야 진짜,혐오
474,아직도 그대로 있어 진짜 최악이야,혐오
475,알겠어 많이 놀랐고 그리고,혐오
476,다른 사람이 생긴 거 같아,슬픔
477,친구로 지내다가 만나게 됐어,슬픔
478,아니야 그런 건 아니야,중립
479,얼마 되지 않았어,중립
480,한 번씩 주의를 줬는데 안 되네,분노
481,대학교 동창회,중립
482,안 맞으면 따로 살아야겠지,분노
483,나도 못 가고 이러고 있어,분노
484,공채가 끝나서 자리가 있을지 모르겠네,중립
485,부모님은 모르셔요,슬픔
486,나는 잘하는게 없나 봐,슬픔
487,바람이라도 쓸까,슬픔
488,알고 있지 그래도 열심히 해야지,중립
489,해피가 어제 세상을 떠났어,슬픔
490,엄마가 많이 속상해하지 나도 집에 들어 가기 싫고,슬픔
491,누가 화장실에 토하고 안 치운 거 있지,혐오
492,차 놀랬어 엄청 깜짝 놀랬다니까,공포
493,바람핀다 짜증 나게,슬픔
494,있잖아 한달 전화해,중립
495,딱히 그런 건 없었는데 뭐 바람피는데,슬픔
496,청소를 안 한다니까 스트레스 받는다,분노
497,"맞지\
 확인해 보고 좋게 얘기도 해보고",분노
498,"알았어\
 이번에 처음",분노
499,안 그래도 그러니까 생각 중이야 지금,중립
500,"또 면접 안 됐다\
 왜 아무도 노래 집에를 뭐라 얘기 하나",슬픔
501,방법이 있나,슬픔
502,아직 모르는데 말 못 하겠다,슬픔
503,밥 생각도 없어 안 먹었다,슬픔
504,안 그래도 담배 한대 피우고 있다 지금,중립
505,지금 퇴근하면서 이상하지,분노
506,그것도 잘 모르겠다,중립
507,우리집 강아지 묻어 주고 왔다,슬픔
508,"아니 원래 좀 안 좋았었는데 오늘 아침에\
 갑자기 더 심해져서",슬픔
509,아니 그냥 화장했어,슬픔
510,고맙다 그렇게 얘기해 줘서 너밖에 없네,중립
511,아니 왜 그리 약속 안 지키는데 장난치는 것도 아니고 또 보니까 이게,분노
512,"전화를 안 받는다\
이 노래가 어떤지 해야지 진짜",분노
513,황도 거리 아니다 지금 일하는게,분노
514,한두 번이 아니니까 안 바뀐다 사람이,분노
515,"울 아버지 또 사고쳤다\
 도대체",분노
516,또 못 그런게 하나도 무슨 얘기를 하고,분노
517,회사에서 전화 걸어,분노
518,그러려고 다른 데서 알아보고 있어 지금 안 그래도,슬픔
519,그런 사람 있으면 너한테 전화 안 했지,중립
520,지진 못 느꼈나 아니,공포
521,그때 다치진 않았고 괜찮다,공포
522,사람들도 다 괜찮고 그냥 다들 놀랐지 뭐,공포
523,이거 누가 저랬지,혐오
